year,abundance_med,ab_lci,ab_uci
1985,456.3,NA,NA
1986,239.8,NA,NA
1987,149.6,NA,NA
1988,409,340,499
1989,366,312,439
1990,464,346,642
1991,16,8,59
1992,19,16,25
1993,NA,NA,NA
1994,NA,NA,NA
1995,NA,NA,NA
1996,3,2,5
1997,NA,NA,NA
1998,NA,NA,NA
1999,14.69703209295,9.394738254990001,28.78514405666
2000,8.024245723463599,6.539188991940099,10.048398413607499
2001,10.073327587329599,6.7523494271171005,30.5797891985304
2002,6.255751387375001,5.1880228559137995,8.2288134856685
2003,9.288697522624801,6.713635725115999,16.8577955599883
2004,11.18413507814,9.047406816235,19.7729097467772
2005,6.1535309821674,3.8154261748873,24.1785372380076
2006,NA,NA,NA
2007,28.1346575401025,21.930893521095,44.4411531022
2008,21.4533164909176,17.2777589415463,33.2532931414056
2009,28.344353622801002,24.864122531224,37.297539971465
2010,1.9713351531862,1.1409206530375,4.99375454661
2011,19.2903322235543,14.471943505329598,29.793440548284
2012,18.9305115152197,15.1917330220752,46.4501425706705
2013,50.6686072887028,34.496656217329594,77.8998675848908
2014,106.81934141867909,92.15148346403133,126.32201296770089
2015,45.039481611719,35.0522006004954,61.075552130698
2016,NA,NA,NA
2017,18.306530433317135,15.555260430414775,24.771092554741045
2018,32.03013871,27.024806140000003,52.883667272
2019,18.447070592873,15.424401819358,23.339132323525938
2020,NA,NA,NA
2021,NA,NA,NA
2022,26.64349906711222,17.871031300973723,45.318843078605454
