year,NAFO_div,sex,age,N_millions,proportion_age,N_mature_millions,prop_mat,weight_tonnes,length_mean_mm,weight_mean_g
2021,3L,Female,Unknown,0.11,0,0.11,1,3.6,192.5,32.7
2021,3L,Female,2,164.29,0.77,164.11,1,2820.71,146.91,17.17
2021,3L,Female,3,45.97,0.22,45.86,1,1031.06,161.18,22.43
2021,3L,Female,4,1.9,0.01,1.9,1,50.05,170.83,26.36
2021,3L,Female,5,0.15,0,0.15,1,4.42,177.5,28.61
2021,3L,Male,Unknown,0.1,0,0.1,1,14.2,272.5,148.38
2021,3L,Male,1,0.21,0,0.05,0.22,1.37,117.16,6.45
2021,3L,Male,2,86.86,0.55,83.8,0.96,2276.23,164.85,26.21
2021,3L,Male,3,62.98,0.4,62.73,1,1966.64,173.8,31.22
2021,3L,Male,4,8.42,0.05,8.4,1,287.71,179.02,34.17
