year,stratum,age,mean.wt,weight,abundance,abun_LL,abun_UL,biomass,bio_LL,bio_UL,prop_mat,mature,prop_mat_LL,prop_mat_UL
2009,T,4,6.7,22.92,53.62169226,45.8002566,64.9747773,1229.009187,1049.741881,1489.221896,1,53.62169226,45.8002566,64.9747773
2009,T,2,6.7,6.81,1367.353153,1167.906543,1656.856821,9311.674969,7953.443559,11283.19495,0.52,711.0236393,607.3114025,861.565547
2009,T,3,6.7,16.85,348.5409997,297.7016679,422.3360524,5872.915844,5016.273104,7116.362484,0.99,345.0555897,294.7246512,418.1126919
2010,T,Unknown,7.9,3.96,0,0,0,0,0,0,0,0,0,0
2010,T,2,7.9,7.69,6678.59201,1003.215963,46172.59879,51358.37256,7714.730753,355067.2847,0.38,2537.864964,381.2220658,17545.58754
2010,T,3,7.9,14.99,1113.098668,167.2026604,7695.433131,16685.34904,2506.36788,115354.5426,0.97,1079.705708,162.1865806,7464.570137
2010,T,1,7.9,3.52,1484.131558,222.9368806,10260.57751,5224.143084,784.7378197,36117.23283,0,0,0,0
2011,T,1,5.7,2.33,942.1686159,640.7864948,1371.383446,2195.252875,1493.032533,3195.323428,0,0,0,0
2011,T,4,5.7,26,0,0,0,0,0,0,1,0,0,0
2011,T,2,5.7,5.78,7451.697235,5068.038641,10846.39634,43070.81002,29293.26334,62692.17086,0.15,1117.754585,760.2057961,1626.959451
2011,T,3,5.7,16.61,171.3033847,116.5066354,249.3424446,2845.34922,1935.175214,4141.578005,1,171.3033847,116.5066354,249.3424446
2012,T,1,9.2,3.9,0,0,0,0,0,0,0,0,0,0
2012,T,2,9.2,7.47,1606.297716,1132.499315,2636.388057,11999.04394,8459.769882,19693.81878,0.18,289.1335889,203.8498767,474.5498502
2012,T,3,9.2,16.78,264.5666827,186.5292989,434.2286211,4439.428935,3129.961636,7286.356262,0.96,253.9840153,179.068127,416.8594762
2012,T,4,9.2,24.18,18.89762019,13.32352135,31.01633008,456.9444562,322.1627463,749.9748613,1,18.89762019,13.32352135,31.01633008
2013,T,1,9.7,3.72,11.23592913,4.840299748,31.25653641,41.79765635,18.00591506,116.2743155,0,0,0,0
2013,T,2,9.7,8.11,443.8192005,191.19184,1234.633188,3599.373716,1550.565823,10012.87516,0.2,88.7638401,38.23836801,246.9266377
2013,T,3,9.7,16.94,106.7413267,45.98284761,296.9370959,1808.198074,778.9494385,5030.114405,0.78,83.25823483,35.86662113,231.6109348
2017,T,1,8.9,2.16,24.7690332,15.738216,41.9666412,53.50111171,33.99454656,90.64794499,0.04,0.990761328,0.62952864,1.678665648
2017,T,2,8.9,7.74,346.7664648,220.335024,587.5329768,2683.972438,1705.393086,4547.50524,0.66,228.8658668,145.4211158,387.7717647
2017,T,3,8.9,16.51,247.690332,157.38216,419.666412,4089.367381,2598.379462,6928.692462,1,247.690332,157.38216,419.666412
2018,T,2,NA,7.39,1849.27988,1111.737616,2770.102942,13666.17831,8215.740985,20471.06074,0.41,758.2047508,455.8124227,1135.742206
2018,T,3,NA,17.1,1027.377711,617.6320091,1538.946079,17568.15886,10561.50736,26315.97795,1,1027.377711,617.6320091,1538.946079
2018,T,4,NA,24.85,0,0,0,0,0,0,1,0,0,0
2018,T,Unknown,NA,0.7,0,0,0,0,0,0,0,0,0,0
2018,T,1,NA,2.74,547.9347792,329.4037382,820.771242,1501.341295,902.5662427,2248.913203,0,0,0,0
2019,T,3,NA,15.33,303.87178,275.0996807,339.732587,4658.354387,4217.278105,5208.100559,0.96,291.7169088,264.0956935,326.1432835
2019,T,4,NA,24.44,0,0,0,0,0,0,1,0,0,0
2019,T,1,NA,1.98,84.40882777,76.41657797,94.37016305,167.129479,151.3048244,186.8529228,0,0,0,0
2019,T,2,NA,7.69,1283.014182,1161.531985,1434.426478,9866.37906,8932.180966,11030.73962,0.43,551.6960983,499.4587536,616.8033857
