year,meanCond
1995,1.01685
1996,1.0095
1997,1.0204
1998,0.99165
1999,1.0109
2000,1.00255
2001,1.0117
2002,1.0079
2003,0.97395
2004,1.0165
2005,1.0339
2006,0.9838
2007,1.0241500000000001
2008,0.965
2009,0.9694499999999999
2010,0.9791000000000001
2011,1.0192
2012,1.02175
2013,0.9922500000000001
2014,1.01355
2015,1.01565
2016,0.9793499999999999
2017,1.04745
2018,1.03705
