year,stratum,age,abundance,prop_age,mature,prop_mat,biomass,length,weight
2019,B,4,176.11,0.03,176.11,1,3929.44,171.96,22.31
2019,C,2,214.49,0.2,144.04,0.67,2918.9,148.83,13.61
2019,C,3,831.76,0.77,799.97,0.96,17069.39,167.4,20.52
2019,C,4,27.2,0.03,27.2,1,451.81,160.21,16.61
2019,E,2,134.22,0.29,134.22,1,2278.43,157.5,16.97
2019,E,3,335.56,0.71,335.56,1,6040.99,158.5,18
2019,F,2,322.62,0.59,103.44,0.32,2715.31,130.32,8.42
2019,F,3,213.03,0.39,206.87,0.97,3712.36,159.29,17.43
2019,F,4,11.08,0.02,11.08,1,238.48,169.17,21.52
2019,H,2,3064.94,0.55,2451.95,0.8,33652.53,142.03,10.98
2019,H,3,2378.81,0.43,2378.81,1,45331.9,163.29,19.06
2019,H,4,128.87,0.02,128.87,1,3151.78,174.66,24.46
2019,I,2,14.72,0.39,10.59,0.72,183.17,148.57,12.44
2019,I,3,21.53,0.56,21.27,0.99,430.06,168.82,19.97
2019,I,4,1.89,0.05,1.89,1,43.32,176.22,22.92
2019,J,2,242.13,0.41,125.79,0.52,2639.73,142.11,10.9
2019,J,3,320.08,0.55,306.5,0.96,6033.89,163.61,18.85
2019,J,4,21.26,0.04,21.26,1,523.16,175.83,24.61
2019,K,2,53.06,0.58,42.13,0.79,635.86,144.07,11.98
2019,K,3,36.97,0.4,36.97,1,668.45,161.87,18.08
2019,K,4,1.67,0.02,1.67,1,37.36,173.86,22.37
2019,M,2,51.81,0.22,42.09,0.81,674.8,148.75,13.03
2019,M,3,171.61,0.74,161.89,0.94,3598,166.65,20.97
2019,M,4,9.71,0.04,9.71,1,245.11,172.5,25.23
2021,A,1,74413.53,0.72,173.05,0,163454.29,87.02,2.2
2021,A,2,28554.03,0.28,8306.63,0.29,275511.11,130.92,9.65
2021,A,3,865.27,0.01,865.27,1,20905.01,168.5,24.16
2021,B,1,2.02,0.37,0,0,3.24,81.42,1.61
2021,B,2,3.35,0.61,2.47,0.74,42.55,140.14,12.69
2021,B,3,0.08,0.01,0.07,0.83,2.06,165.83,25.15
2021,C,1,779.76,0.31,0,0,1520.53,85,1.95
2021,C,2,1754.45,0.69,194.94,0.11,13626.25,125.83,7.77
