"year","age","med.abund.age.fran","low.abund.age.fran","up.abund.age.fran","med.bm.age.fran","low.bm.age.fran","up.bm.age.fran","med.mat.abund.age.fran","low.mat.abund.age.fran","up.mat.abund.age.fran","med.mat.bm.age.fran","low.mat.bm.age.fran","up.mat.bm.age.fran"
2004,"4",439.1288322047,360.1767215549,730.0555638646,7418.04852421665,6065.71359507558,12590.8381372431,439.1288322047,360.1767215549,730.0555638646,7418.04852421665,6065.71359507558,12590.8381372431
2004,"5",0,0,0,0,0,0,0,0,0,0,0,0
2004,"Unknown",0.786986365,0.57988469,1.24261005,8.91655551545,6.5700935377,14.0787718665,0.472191819,0.347930814,0.74556603,5.34993330927,3.94205612262,8.4472631199
2005,"1",631.371561318,275.936762356,5158.2504139765,856.89149177789,424.30062547413,5830.00581423222,0.85488500615,0.61720397305,1.2585046407,9.6003586190645,6.9312006173515,14.133007115061
2005,"2",2697.6613914719,1648.2377962011,11072.1907002613,36026.6105525082,22244.0062083138,145551.40754303,2099.93396242211,1252.38009905597,9510.71097981166,27949.9542026711,16884.0464887508,124342.305179666
2005,"3",2286.9904797733,1535.8471925592,6285.4834491031,47412.6954636506,31748.8446180697,135867.146149793,2266.97137481734,1521.59976837233,6235.83219682147,47029.2203726358,31476.9520756851,134814.284863907
2005,"4",487.9713844688,322.390867621,1582.5240087595,10342.3212857769,6816.64213458066,34638.0531659473,484.999214560676,320.410054252,1577.71868880507,10278.9843450348,6774.43100168727,34535.6517977184
2005,"5",49.5361651354,33.01355615,80.0886659072,1022.42644839466,681.399798936,1653.03006432461,49.5361651354,33.01355615,80.0886659072,1022.42644839466,681.399798936,1653.03006432461
2005,"Unknown",0,0,0,0,0,0,0,0,0,0,0,0
2007,"1",3791.1963293328,3003.44344790367,6175.0385029434,8482.41490266382,6797.66806563324,13606.6695938749,0,0,0,0,0,0
2007,"2",13290.6591388695,10980.5477375089,18642.8785610994,118706.21846989,98350.1007618488,165598.559299351,5575.6911697612,4526.0168597509,8512.33373900318,48697.6587958936,39616.9992024995,74168.1530818006
2007,"3",2474.4085581724,2033.3189808462,3632.2113470236,43724.381597032,35990.9324637052,63404.2028215721,2439.7002001649,2003.35879297582,3591.28422900635,43121.4974184416,35470.5240003966,62693.2987816125
2007,"4",223.7440013278,190.5566933426,266.8106465236,4780.36185599734,4065.67081571032,5707.00048022121,217.959274993216,185.563328697536,259.989460187392,4663.68392582878,3964.95465081938,5569.41715181989
2007,"5",0,0,0,0,0,0,0,0,0,0,0,0
2007,"Unknown",0,0,0,0,0,0,0,0,0,0,0,0
2007,NA,0,0,0,0,0,0,0,0,0,0,0,0
2008,"1",4286.352501077,3501.5334024114,6470.2309950159,14331.0114939669,11744.5262921893,22587.6819266309,0.836690767,0.57781367325,1.920868035625,1.49767647293,1.0342864751175,3.43835378376875
2008,"2",10116.413010125,7887.1534492021,24200.5924228556,93478.4129716999,73171.6791773367,202746.427936162,5409.45502882203,4232.51202656236,10857.6658738276,52406.0081852766,40907.125155564,100596.424496795
2008,"3",6831.5298385586,5477.1444243821,11712.2224682438,131161.916526077,104939.984375318,229821.666480583,6801.33354563224,5452.82879321814,11648.4785160744,130522.673261298,104424.975239799,228469.205032752
2008,"4",775.024926986,613.280969919,1257.65191137,17516.7618051861,13924.9600847224,28948.1389272248,772.3195737368,611.082658369704,1254.12289465803,17461.2479565125,13879.8507317308,28875.7235042952
2008,"5",6.816931758,5.3291093505,9.8791407858,173.21823597078,135.412668596205,251.028967367178,6.816931758,5.3291093505,9.8791407858,173.21823597078,135.412668596205,251.028967367178
2008,"Unknown",0,0,0,0,0,0,0,0,0,0,0,0
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0
2009,"1",3712.32047833175,3267.21579047752,4614.1076601335,11744.5408828979,10277.4950904885,14899.5817148795,121.133034039571,99.7533830706075,174.791241058877,494.54692505027,404.296890071482,723.915521612683
2009,"2",18659.1235804773,16251.5097024002,25209.7198517288,146451.047509372,126844.47650791,200466.979822046,11092.7437726046,9586.48534459594,15611.9848604811,91107.6934192378,78171.502725966,129874.880248774
2009,"3",6441.80722165593,5581.04716279852,8403.3755923937,96811.1617580564,83826.7144370221,125834.61208925,6395.6426592044,5540.58304609721,8345.89043388458,96123.0634879026,83222.7370451224,124985.816998432
2009,"4",523.448512130748,453.006177949922,693.290233229,9753.97737517916,8428.62802309985,12839.0735644318,523.448512130748,453.006177949922,693.290233229,9753.97737517916,8428.62802309985,12839.0735644318
2009,"5",0,0,0,0,0,0,0,0,0,0,0,0
2009,"Unknown",0,0,0,0,0,0,0,0,0,0,0,0
2010,"1",188.6734003725,99.4240139849,410.0699157997,627.499542671601,337.076872198412,1369.77717922068,1.570743720432,0.791517179936,3.338137671904,4.96355015656512,2.50119428859776,10.5485150432166
2010,"2",1202.516537757,709.48348531,2862.3869427315,12250.0234878516,7359.99535629238,29195.8368286849,864.815551352125,512.011911835414,2061.34720616462,8942.46536659546,5395.05620370806,21466.8796050247
2010,"3",620.847305709473,357.681874221336,1809.68609597314,9725.15496622197,5635.06882610301,28187.0259841759,612.571739686665,354.141569914896,1780.8462663594,9596.47187683397,5580.5707976488,27738.8436839597
2010,"4",12.9193408151,6.3514234262,34.1987049806,219.762772281631,107.288482588166,574.131408315936,12.9193408151,6.3514234262,34.1987049806,219.762772281631,107.288482588166,574.131408315936
2010,"5",0,0,0,0,0,0,0,0,0,0,0,0
2010,"Unknown",0,0,0,0,0,0,0,0,0,0,0,0
2011,"1",1259.3592926832,817.0872853246,1866.7022538076,1747.42946533571,1139.24867885519,2706.92965919588,0,0,0,0,0,0
2011,"2",12668.7464555862,9514.1316416225,20178.8205152905,115151.36082154,86672.3825998327,177221.969041581,6485.0069383186,4878.98535841084,10068.5578443514,59980.1103986048,45287.6621101791,90493.3822092142
2011,"3",4702.3539357743,3619.3479654114,6921.9215374706,73997.3100885446,56775.186230298,108669.101733466,4588.30691735583,3530.47891984978,6754.98001327133,72204.3591563025,55381.4950367066,106051.766706762
2011,"4",590.0047026865,467.283556455,891.3031039036,10859.3074578369,8595.75049572967,16390.3421738172,590.0047026865,467.283556455,891.3031039036,10859.3074578369,8595.75049572967,16390.3421738172
2011,"5",49.48599564,38.0751072336,82.864784856,853.1385648336,656.414848707264,1428.58889091744,49.48599564,38.0751072336,82.864784856,853.1385648336,656.414848707264,1428.58889091744
2011,"Unknown",70.4145695,45.106744815,97.33778725,61.96482116,39.6939354372,85.65725278,0,0,0,0,0,0
2012,"1",1845.421363418,1527.7469567147,2501.2598985146,3591.95768381088,2942.07034015369,5932.44551291305,16.933892005132,12.245552463612,103.311276651436,88.5757037126378,62.597046030145,640.865603984822
2012,"2",19124.0362191986,15380.8203092087,44654.1183113039,170026.171783089,137626.787743676,357550.114782468,9569.11013614768,7812.79092220663,17317.8812583607,95524.398675787,78372.6486265738,156614.641092036
2012,"3",2368.5050007958,1924.0403823567,4751.3256013114,39562.8367761241,32357.2953618053,72844.927414225,2287.16751772277,1866.39025545104,4142.56323011376,38435.569893856,31551.3283263828,64725.1308516381
