year,prop,age
2001.122339,0.477370211,2
2001.20687,0.477370211,2
2001.291401,0.477370211,2
2001.375932,0.477370211,2
2001.629524,0.5030039543,2
2001.714055,0.5030039543,2
2001.798586,0.5030039543,2
2001.883117,0.5030039543,2
2001.967648,0.5030039543,2
2002.052179,0.5030039543,2
2002.136709,0.5030039543,2
2002.22124,0.5030039543,2
2002.305771,0.5030039543,2
2002.369169,0.5030039543,2
2002.601629,0.6263663441,2
2002.68616,0.6263663441,2
2002.770691,0.6263663441,2
2002.855222,0.6263663441,2
2002.939753,0.6263663441,2
2003.024283,0.6263663441,2
2003.108814,0.6263663441,2
2003.193345,0.6263663441,2
2003.277876,0.6263663441,2
2003.362407,0.6263663441,2
2003.615999,0.5270355887,2
2003.70053,0.5270355887,2
2003.785061,0.5270355887,2
2003.869592,0.5270355887,2
2003.954123,0.5270355887,2
2004.038654,0.5270355887,2
2004.123185,0.5270355887,2
2004.207715,0.5270355887,2
2004.292246,0.5270355887,2
2004.376777,0.5270355887,2
2004.63037,0.2723002643,2
2004.7149,0.2723002643,2
2004.799431,0.2723002643,2
2004.883962,0.2723002643,2
2004.968493,0.2723002643,2
2005.053024,0.2723002643,2
2005.137555,0.2723002643,2
2005.222086,0.2723002643,2
2005.306616,0.2723002643,2
2005.370015,0.2723002643,2
2005.602474,0.5638840947,2
2005.687005,0.5638840947,2
2005.771536,0.5638840947,2
2005.856067,0.5638840947,2
2005.940598,0.5638840947,2
2006.025129,0.5638840947,2
2006.10966,0.5638840947,2
2006.19419,0.5638840947,2
2006.278721,0.5638840947,2
2006.363252,0.5638840947,2
2006.616845,0.4821765378,2
2006.701376,0.4821765378,2
2006.785906,0.4821765378,2
2006.870437,0.4821765378,2
2006.954968,0.4821765378,2
2007.039499,0.4821765378,2
2007.12403,0.4821765378,2
2007.208561,0.4821765378,2
2007.293092,0.4821765378,2
2007.35649,0.4821765378,2
2007.631215,0.3844478914,2
2007.715746,0.3844478914,2
2007.800277,0.3844478914,2
2007.884808,0.3844478914,2
2007.969338,0.3844478914,2
2008.053869,0.3844478914,2
2008.1384,0.3844478914,2
2008.222931,0.3844478914,2
2008.307462,0.3844478914,2
2008.37086,0.3844478914,2
2008.60332,0.6247642351,2
2008.687851,0.6247642351,2
2008.772381,0.6247642351,2
2008.856912,0.6247642351,2
2008.941443,0.6247642351,2
2009.025974,0.6247642351,2
2009.110505,0.6247642351,2
2009.195036,0.6247642351,2
2009.279567,0.6247642351,2
2009.364097,0.6247642351,2
2009.61769,0.5030039543,2
2009.702221,0.5030039543,2
2009.786752,0.5030039543,2
2009.871283,0.5030039543,2
2009.955813,0.5030039543,2
2010.040344,0.5030039543,2
2010.124875,0.5030039543,2
2010.209406,0.5030039543,2
2010.293937,0.5030039543,2
2010.357335,0.5030039543,2
2010.63206,0.4309090512,2
2010.716591,0.4309090512,2
2010.801122,0.4309090512,2
2010.885653,0.4309090512,2
2010.970184,0.4309090512,2
2011.054715,0.4309090512,2
2011.139245,0.4309090512,2
2011.223776,0.4309090512,2
2011.308307,0.4309090512,2
2011.371705,0.4293069422,2
2011.604165,0.5286376976,2
2011.688696,0.5286376976,2
2011.773227,0.5286376976,2
2011.857758,0.5286376976,2
2011.942288,0.5286376976,2
2012.026819,0.5286376976,2
2012.11135,0.5286376976,2
2012.195881,0.5286376976,2
2012.280412,0.5286376976,2
2012.364943,0.5278366431,2
2012.618535,0.4565427945,2
2012.703066,0.4565427945,2
2012.787597,0.4565427945,2
2012.872128,0.4565427945,2
2012.956659,0.4565427945,2
2013.04119,0.4565427945,2
2013.12572,0.4565427945,2
2013.210251,0.4565427945,2
2013.294782,0.4565427945,2
2013.35818,0.4565427945,2
2013.59064,0.03999446544,2
2013.675171,0.03999446544,2
2013.759702,0.03999446544,2
2013.844233,0.03999446544,2
2013.928764,0.03999446544,2
2014.013294,0.03999446544,2
2014.097825,0.03999446544,2
2014.182356,0.03999446544,2
2014.266887,0.03999446544,2
2014.351418,0.03999446544,2
2014.60501,0.1849853261,2
2014.689541,0.1857863806,2
2014.774072,0.1857863806,2
2014.858603,0.1857863806,2
2014.943134,0.1857863806,2
2015.027665,0.1857863806,2
2015.112195,0.1857863806,2
2015.196726,0.1857863806,2
2015.281257,0.1857863806,2
2015.365788,0.1849853261,2
2015.619381,0.2242369956,2
2015.703911,0.2242369956,2
2015.788442,0.2242369956,2
2015.872973,0.2242369956,2
2015.957504,0.2242369956,2
2016.042035,0.2242369956,2
2016.126566,0.2242369956,2
2016.211097,0.2242369956,2
2016.295627,0.2242369956,2
2016.380158,0.2234359411,2
2016.591485,0.7625456055,2
2016.676016,0.7625456055,2
2016.760547,0.7625456055,2
2016.845078,0.7625456055,2
2016.929609,0.7625456055,2
2017.01414,0.7625456055,2
2017.098671,0.7625456055,2
2017.183201,0.7625456055,2
2017.267732,0.7625456055,2
2017.352263,0.7625456055,2
2017.605856,0.5767009664,2
2017.690387,0.5767009664,2
2017.774917,0.5767009664,2
2017.859448,0.5767009664,2
2017.943979,0.5767009664,2
2018.02851,0.5767009664,2
2018.113041,0.5767009664,2
2018.197572,0.5767009664,2
2018.282103,0.5767009664,2
2018.366633,0.5767009664,2
2018.620226,0.4933913005,2
2018.704757,0.4933913005,2
2018.789288,0.4933913005,2
2018.873818,0.4933913005,2
2018.958349,0.4933913005,2
2019.04288,0.4933913005,2
2019.127411,0.4933913005,2
2019.211942,0.4933913005,2
2019.296473,0.4933913005,2
2019.359871,0.4933913005,2
2021.874664,0.3492014943,2
2021.959195,0.3492014943,2
2022.043726,0.3492014943,2
2022.128256,0.3492014943,2
2022.212787,0.3492014943,2
2022.297318,0.3492014943,2
2022.381849,0.3492014943,2
2022.46638,0.3492014943,2
2022.550911,0.3492014943,2
2022.635441,0.3492014943,2
2022.719972,0.3492014943,2
2022.804503,0.3492014943,2
2022.889034,0.3492014943,2
2022.973565,0.3492014943,2
2023.058096,0.3492014943,2
2023.142627,0.3492014943,2
2023.227157,0.3492014943,2
2023.311688,0.3492014943,2
2023.396219,0.3492014943,2
2023.48075,0.3492014943,2
2023.565281,0.3492014943,2
2023.649812,0.3492014943,2
2023.734343,0.3492014943,2
2023.818873,0.3492014943,2
2023.903404,0.3484004399,2
1979.651502,0.4036731989,3
1979.736033,0.4036731989,3
1979.820564,0.4036731989,3
1979.905095,0.4036731989,3
1979.989626,0.4036731989,3
1980.074157,0.4036731989,3
1980.158687,0.4036731989,3
1980.243218,0.4036731989,3
1980.327749,0.4036731989,3
1980.391147,0.4036731989,3
1980.623607,0.3443951675,3
1980.708138,0.3443951675,3
1980.792669,0.3443951675,3
1980.8772,0.3443951675,3
1980.961731,0.3443951675,3
1981.046261,0.3443951675,3
1981.130792,0.3443951675,3
1981.215323,0.3443951675,3
1981.299854,0.3443951675,3
1981.384385,0.3443951675,3
1981.637977,0.8458552713,3
1981.722508,0.8458552713,3
1981.807039,0.8458552713,3
1981.89157,0.8458552713,3
1981.976101,0.8458552713,3
1982.060632,0.8458552713,3
1982.145163,0.8458552713,3
1982.229693,0.8458552713,3
